AAPL
MSFT
AMZN
FB
TSLA
GOOGL
GOOG
JNJ
BRK.B
JPM
PG
UNH
NVDA
HD
PYPL
VZ
ADBE
CMCSA
NFLX
MRK
PFE
WMT
INTC
ABT
CRM
ABBV
TMO
NKE
AVGO
XOM
QCOM
CSCO
ACN
CVX
MCD
MDT
TXN
HON
LLY
DHR
UNP
BMY
AMGN
PM
SBUX
UPS
WFC
ORCL
IBM
AMD
RTX
MMM
MS
BLK
ISRG
INTU
CHTR
BKNG
GS
CVS
TGT
FIS
LMT
MDLZ
SQ
SYK
SCHW
ANTM
SPGI
AMAT
ZTS
TMUS
CI
TJX
PLD
CL
AXP
BDX
ATVI
ADP
CSX
CCI
LRCX
DUK
ADSK
CME
FISV
TFC
GPN
EQIX
USB
PNC
ZM
VRTX
FDX
NSC
APD
SHW
MMC
CB
UBER
ITW
PGR
EW
ECL
ADI
ILMN
DG
DD
BSX
GM
WM
AON
REGN
NEM
EMR
ETN
TWLO
MCO
KMB
NOC
ROP
COF
HCA
CTSH
BX
ROST
WDAY
TWTR
IDXX
AEP
EXC
BAX
TEL
KLAC
LHX
SNPS
APH
DOCU
DLR
CMG
MTCH
CDNS
ALGN
FCX
BIIB
CRWD
SRE
VEEV
PTON
CSGP
GD
ROKU
GIS
SYY
MCHP
TRV
DXCM
MSCI
APTV
STZ
XEL
PH
TT
CNC
XLNX
PSA
IQV
MNST
PPG
BK
VRSK
HPQ
JCI
PINS
CMI
TTD
MRNA
EBAY
ORLY
YUM
AIG
ALXN
PANW
INFO
TDG
ZBH
MRVL
SBAC
ANSS
CTAS
HLT
PRU
RMD
BLL
PSX
OKTA
SLB
PAYX
PCAR
AFL
WBA
OTIS
WEC
ROK
EOG
CTVA
MSI
SWK
RNG
ADM
MCK
AWK
BF.B
DFS
SPG
LBRDK
LUV
GLW
SPLK
WLTW
MTD
WCN
CPRT
MPC
VFC
KMI
TDOC
CLX
SWKS
DLTR
FRC
KEYS
DHI
EIX
TTWO
AJG
MKC
MXIM
SGEN
EFX
DTE
KR
BBY
VLO
AMP
VTRS
LYB
FLT
LVS
FTV
PAYC
HSY
AVB
ETSY
EQR
KKR
PPL
CHD
KHC
EXAS
VRSN
ED
ODFL
MKTX
LEN
ZBRA
FTNT
VIAC
STT
SIVB
WMB
ETR
CBRE
TER
WST
ENPH
RSG
LH
VMC
FITB
IP
NDAQ
AEE
SYF
TFX
KSU
QRVO
EPAM
MDB
TSN
