Date,Open,High,Low,Close,Adj Close,Volume,SMA20,2xstd,ld,hd,std,psd,nsd
2020-01-02,323.540009,324.890015,322.5299990000001,324.869995,316.83667,59151200,,,,,2.1328658260856472,2.1328658260856472,-2.1328658260856472
2020-01-03,321.160004,323.640015,321.100006,322.410004,314.4375,77709700,,,,,2.1328658260856472,2.1328658260856472,-2.1328658260856472
2020-01-06,320.48999,323.730011,320.359985,323.640015,315.637115,55653900,,,,,2.1328658260856472,2.1328658260856472,-2.1328658260856472
2020-01-07,323.019989,323.540009,322.23999,322.730011,314.749573,40496400,,,,,2.1328658260856472,2.1328658260856472,-2.1328658260856472
2020-01-08,322.940002,325.7799990000001,322.670013,324.450012,316.427063,68296000,,,,,2.1328658260856472,2.1328658260856472,-2.1328658260856472
2020-01-09,326.160004,326.730011,325.519989,326.649994,318.572632,48473300,,,,,2.1328658260856472,2.1328658260856472,-2.1328658260856472
2020-01-10,327.290009,327.459991,325.200012,325.709991,317.655884,53029300,,,,,2.1328658260856472,2.1328658260856472,-2.1328658260856472
2020-01-13,326.390015,327.959991,325.920013,327.950012,319.840515,47086800,,,,,2.1328658260856472,2.1328658260856472,-2.1328658260856472
2020-01-14,327.470001,328.619995,326.839996,327.450012,319.352875,62832800,,,,,2.1328658260856472,2.1328658260856472,-2.1328658260856472
2020-01-15,327.350006,329.019989,327.26001,328.190002,320.074585,72056600,,,,,2.1328658260856472,2.1328658260856472,-2.1328658260856472
2020-01-16,329.700012,330.920013,329.450012,330.920013,322.737061,54050300,,,,,2.1328658260856472,2.1328658260856472,-2.1328658260856472
2020-01-17,331.700012,332.179993,330.850006,331.950012,323.741638,95846000,,,,,2.1328658260856472,2.1328658260856472,-2.1328658260856472
2020-01-21,330.899994,332.179993,330.820007,331.299988,323.1076970000001,77742400,,,,,2.1328658260856472,2.1328658260856472,-2.1328658260856472
2020-01-22,332.23999,332.950012,331.170013,331.339996,323.146667,48914900,,,,,2.1328658260856472,2.1328658260856472,-2.1328658260856472
2020-01-23,330.630005,332.170013,329.410004,331.720001,323.517273,51963000,,,,,2.1328658260856472,2.1328658260856472,-2.1328658260856472
2020-01-24,332.440002,332.5299990000001,327.359985,328.769989,320.640198,87578400,,,,,2.1328658260856472,2.1328658260856472,-2.1328658260856472
2020-01-27,323.0299990000001,325.119995,322.660004,323.5,315.50058,84062500,,,,,2.1328658260856472,2.1328658260856472,-2.1328658260856472
2020-01-28,325.059998,327.850006,323.600006,326.890015,318.806732,63834000,,,,,2.1328658260856472,2.1328658260856472,-2.1328658260856472
2020-01-29,328.380005,328.630005,326.399994,326.619995,318.543427,53888900,,,,,2.1328658260856472,2.1328658260856472,-2.1328658260856472
2020-01-30,324.359985,327.910004,323.540009,327.679993,319.577209,75491800,,,,,2.1328658260856472,2.1328658260856472,-2.1328658260856472
2020-01-31,327.0,327.170013,320.730011,321.730011,313.774353,113845600,327.23700249999996,6.004811987093499,321.23219051290647,333.24181448709345,2.1328658260856472,329.3698683260856,325.1041366739143
2020-02-03,323.350006,326.160004,323.220001,324.119995,316.105225,69083000,327.08000329999993,6.395624924926605,320.6843783750733,333.47562822492654,2.1328658260856472,329.2128691260856,324.94713747391427
2020-02-04,328.070007,330.01001,327.720001,329.059998,320.923065,62573200,327.16550285,6.185897560011425,320.97960528998857,333.3514004100114,2.1328658260856472,329.29836867608566,325.03263702391433
2020-02-05,332.269989,333.089996,330.670013,332.859985,324.62912,65951100,327.43650199999996,6.01694074462493,321.419561255375,333.4534427446249,2.1328658260856472,329.5693678260856,325.3036361739143
2020-02-06,333.910004,334.190002,332.799988,333.980011,325.721436,50359700,327.94300069999997,6.052275130524256,321.8907255694757,333.99527583052424,2.1328658260856472,330.07586652608563,325.8101348739143
2020-02-07,332.820007,333.98999,331.600006,332.200012,323.985413,64139400,328.41950065,6.369515688571467,322.0499849614285,334.78901633857146,2.1328658260856472,330.55236647608564,326.2866348239143
2020-02-10,331.230011,334.75,331.190002,334.679993,326.404083,42070000,328.69700155,6.518813202230275,322.1781883477697,335.21581475223024,2.1328658260856472,330.82986737608564,326.5641357239143
2020-02-11,336.160004,337.019989,334.679993,335.26001,326.969757,54864500,329.14550164999997,6.860401383283932,322.28510026671603,336.0059030332839,2.1328658260856472,331.27836747608563,327.0126358239143
2020-02-12,336.829987,337.649994,336.429993,337.420013,329.076324,43992700,329.51100154999995,7.329553179011434,322.1814483709885,336.8405547290114,2.1328658260856472,331.6438673760856,327.3781357239143
2020-02-13,335.859985,338.119995,335.559998,337.059998,328.7252200000001,54501900,330.00950159999996,8.024294202156408,321.98520739784357,338.03379580215636,2.1328658260856472,332.1423674260856,327.8766357739143
2020-02-14,337.51001,337.730011,336.200012,337.600006,329.251923,64582200,330.45300139999995,8.537113873597056,321.9158875264029,338.990115273597,2.1328658260856472,332.5858672260856,328.3201355739143
2020-02-18,336.51001,337.670013,335.209991,336.730011,328.403412,57226200,330.78700104999996,9.088916613631142,321.69808443636884,339.87591766363107,2.1328658260856472,332.9198668760856,328.6541352239143
2020-02-19,337.790009,339.079987,337.480011,338.339996,329.9735720000001,48814700,331.02600099999995,9.443160268910823,321.5828407310891,340.4691612689108,2.1328658260856472,333.1588668260856,328.8931351739143
2020-02-20,337.73999,338.640015,333.679993,336.950012,328.618011,74163400,331.37800139999996,9.968026361055955,321.409975038944,341.3460277610559,2.1328658260856472,333.5108672260856,329.2451355739143
2020-02-21,335.470001,335.809998,332.579987,333.480011,325.2337950000001,113788200,331.65850219999993,10.259434598588781,321.39906760141116,341.9179367985887,2.1328658260856472,333.7913680260856,329.52563637391427
2020-02-24,323.140015,333.559998,321.23999,322.420013,314.447296,161088400,331.74650269999995,10.290181940662407,321.45632075933753,342.0366846406624,2.1328658260856472,333.8793685260856,329.6136368739143
2020-02-25,323.940002,324.609985,311.690002,312.649994,304.918823,218913200,331.42900389999994,11.00497058985224,320.4240333101477,342.4339744898522,2.1328658260856472,333.5618697260856,329.2961380739143
2020-02-26,314.179993,318.109985,310.700012,311.5,303.797302,194773800,330.88650359999997,13.337487521161135,317.54901607883886,344.2239911211611,2.1328658260856472,333.01936942608563,328.7536377739143
2020-02-27,305.459991,311.559998,297.51001,297.51001,290.153229,284353500,330.11700284999995,15.731909226177965,314.385093623822,345.8489120761779,2.1328658260856472,332.2498686760856,327.9841370239143
2020-02-28,288.700012,297.890015,285.540009,296.26001,288.9341740000001,384975800,328.6615036,21.194726688426506,307.4667769115735,349.8562302884265,2.1328658260856472,330.79436942608567,326.52863777391434
2020-03-02,298.209991,309.160004,294.459991,309.089996,301.446869,238703600,327.09050445,25.477891807810188,301.61261264218984,352.5683962578102,2.1328658260856472,329.2233702760857,324.95763862391436
2020-03-03,309.5,313.839996,297.570007,300.23999,292.815735,300139100,326.4585037,26.581609320443427,299.8768943795566,353.0401130204434,2.1328658260856472,328.59136952608566,324.32563787391433
2020-03-04,306.119995,313.100006,303.329987,312.859985,305.123627,176613400,325.26450345,28.935579745636815,296.3289237043632,354.2000831956368,2.1328658260856472,327.39736927608567,323.13163762391434
2020-03-05,304.980011,308.470001,300.01001,302.459991,294.980804,186366800,324.45450280000006,29.36897394911112,295.0855288508889,353.8234767491112,2.1328658260856472,326.5873686260857,322.3216369739144
2020-03-06,293.149994,298.7799990000001,290.230011,297.459991,290.104462,228667200,322.9345031,30.592749437288763,292.3417536627112,353.52725253728875,2.1328658260856472,325.06736892608563,320.8016372739143
2020-03-09,275.299988,284.190002,273.450012,274.230011,267.448914,309417300,321.10850209999995,32.06195103105151,289.0465510689485,353.17045313105143,2.1328658260856472,323.2413679260856,318.9756362739143
2020-03-10,284.640015,288.519989,273.5,288.420013,281.287994,276444100,318.21000204999996,37.5403484393571,280.66965361064285,355.75035048935706,2.1328658260856472,320.3428678760856,316.0771362239143
2020-03-11,280.700012,281.940002,270.880005,274.359985,267.575684,255316300,315.89700304999997,38.87305586898906,277.0239471810109,354.77005891898904,2.1328658260856472,318.02986887608563,313.7641372239143
